id	judgmentList	dialogueList	timeEffect	needFloor	demandFloor
~id	~判断结果列表（操作符:楼层:好感度)	~对话列表（条件:参数:对话开始id）	~处理需求消耗时间（时:分:秒）	~需求处理楼层	~住户目标楼层
	~GOTO=前往这些楼层时触发；REFUSE=拒绝后触发；DEFAULT=前面都没命中后的默认效果。	~支持 GREATER/LESS/SELECTED/NOT_SELECTED/CUSTOMER_DELIVERED_TO_FLOOR/CUSTOMER_NOT_DELIVERED_TO_FLOOR；GREATER/LESS 填好感度；SELECTED/NOT_SELECTED 填对话选项id；CUSTOMER_DELIVERED_TO_FLOOR/CUSTOMER_NOT_DELIVERED_TO_FLOOR 格式为 住户id:楼层:对话开始id；从左到右先命中先生效。		
2001	GOTO:7:45;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1001	0:12:00	1	7
2002	GOTO:6:35;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1020	0:10:00	1	6
2003	GOTO:8:40;REFUSE:0:-20;DEFAULT:0:-10	CUSTOMER_DELIVERED_TO_FLOOR:1003:8:1037;CUSTOMER_NOT_DELIVERED_TO_FLOOR:1003:8:1042	0:08:00	1	8
2004	GOTO:2:35;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1050	0:10:00	1	2
2005	GOTO:9:45;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1062	0:12:00	1	9
2006	GOTO:7:40;REFUSE:0:-20;DEFAULT:0:-10	DIALOGUE_SELECTED:1007:1069;DIALOGUE_NOT_SELECTED:1007:1673	0:12:00	1	7
2007	GOTO:2:35;REFUSE:0:-20;DEFAULT:0:-10	DIALOGUE_SELECTED:1052:1093;DIALOGUE_NOT_SELECTED:1052:1094	0:08:00	1	2
2008	GOTO:5:40;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1108	0:12:00	1	5
2009	GOTO:11:40;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1129	0:10:00	1	11
2010	GOTO:4:35;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1142	0:10:00	1	4
2011	GOTO:5:40;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1167	0:12:00	1	5
2012	GOTO:2:35;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1228	0:08:00	1	2
2013	GOTO:6:40;REFUSE:0:-20;DEFAULT:0:-10	DIALOGUE_SELECTED:1081:1243;DIALOGUE_NOT_SELECTED:1081:1240	0:10:00	1	6
2014	GOTO:5:40;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1270	0:12:00	1	5
2015	GOTO:5:40;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1298	0:10:00	1	5
2016	GOTO:7:40;REFUSE:0:-20;DEFAULT:0:-10	DIALOGUE_NOT_SELECTED:1246:1332;DIALOGUE_SELECTED:1246:1334	0:10:00	1	7
2018	GOTO:8:40;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1348	0:10:00	1	8
2019	GOTO:4:35;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1372	0:10:00	1	4
2020	GOTO:9:45;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1396	0:12:00	1	9
2021	GOTO:7:40;REFUSE:0:-20;DEFAULT:0:-10	DIALOGUE_NOT_SELECTED:1246:1425;DIALOGUE_SELECTED:1246:1428	0:10:00	1	7
2023	GOTO:1:35;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1451	0:10:00	1	1
2024	GOTO:1:40;REFUSE:0:-20;DEFAULT:0:-10	DIALOGUE_NOT_SELECTED:1246:1460;DIALOGUE_SELECTED:1246:1463	0:10:00	1	1
2026	GOTO:5:40;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1543	0:12:00	1	5
2027	GOTO:2:35;REFUSE:0:-20;DEFAULT:0:-10	DIALOGUE_NOT_SELECTED:1095:1558;DIALOGUE_SELECTED:1095:1553	0:08:00	1	2
2028	GOTO:9:45;REFUSE:0:-20;DEFAULT:0:-10	CUSTOMER_DELIVERED_TO_FLOOR:1006:2:1566;CUSTOMER_NOT_DELIVERED_TO_FLOOR:1006:2:1559	0:12:00	1	9
				
				
				
				
