id	ruleName	ruleDesc	effectList	activeStartTime	activeEndTime
~id	~规则名	~规则描述	~效果列表（操作符:规则效果枚举:param1:param2；组合规则格式为操作符:规则效果枚举:楼层1,楼层2:目标楼层；标签禁行格式为操作符:规则效果枚举:标签1,标签2:目标楼层；楼层转移格式为操作符:规则效果枚举:原始需求楼层:改送楼层）	~生效开始时间	~生效结束时间
			~GOTO:FORBID_TARGET_FLOOR:9:0=禁止前往9楼；GOTO:REDIRECT_TARGET_FLOOR:2:4=将2楼按钮改到4楼；REFUSE:FORBID_REFUSE:0:0=本规则下禁止拒绝；GOTO:COMBO_TARGET_FLOOR:5,6:11=组合键5,6对应11楼；GOTO:FORBID_CUSTOMER_TAG_TARGET_FLOOR:APRON:4=带围裙标签住户不能前往4楼；GOTO:REQUIRE_TRANSFER_TARGET_FLOOR:4:10=原始需求4楼的住户必须手动送去10楼。	~为空或*表示全天生效；时间限定是规则级字段，不是 effect 枚举。	~区间按[start,end)处理，含开始不含结束。
1001	坏掉的九楼	九楼就是坏了	GOTO:FORBID_TARGET_FLOOR:9:0	*	*
1002	二楼改去四楼	如果选择二楼，会被改派到四楼	GOTO:REDIRECT_TARGET_FLOOR:2:4	*	*
1003	拒载投诉	本关不允许直接拒绝乘客	REFUSE:FORBID_REFUSE:0:0	*	*
1004	五楼临时封锁	五楼正在演练，禁止前往五楼	GOTO:FORBID_TARGET_FLOOR:5:0	*	*
1005	七楼改去一楼	选择七楼时会被安保改派到一楼	GOTO:REDIRECT_TARGET_FLOOR:7:1	*	*
1006	十楼贵宾通道	十楼暂时只允许指定乘客通行，普通调度禁止直达	GOTO:FORBID_TARGET_FLOOR:10:0	*	*
1007	五六组合去十一楼	5和6组合键会把楼层改派到11楼	GOTO:COMBO_TARGET_FLOOR:5,6:11	*	*
1008	二三组合去九楼	2和3组合键会把楼层改派到9楼	GOTO:COMBO_TARGET_FLOOR:2,3:9	*	*
1009	围裙住户禁去四楼	带围裙标签的住户不能前往四楼	GOTO:FORBID_CUSTOMER_TAG_TARGET_FLOOR:APRON:4	*	*
1010	四楼住户改送十楼	原始需求是四楼的住户需要手动改送十楼	GOTO:REQUIRE_TRANSFER_TARGET_FLOOR:4:10	*	*
1011	早高峰二楼改去六楼	8点30到9点之间，二楼按钮会改到六楼	GOTO:REDIRECT_TARGET_FLOOR:2:6	8:30:00	9:00:00
1012	第二天偶数楼层故障	第二天所有偶数楼层按钮故障，需要对应的 1+奇数楼层 组合键才能到达	GOTO:COMBO_TARGET_FLOOR:1,1:2;GOTO:COMBO_TARGET_FLOOR:3,1:4;GOTO:COMBO_TARGET_FLOOR:5,1:6;GOTO:COMBO_TARGET_FLOOR:7,1:8;GOTO:COMBO_TARGET_FLOOR:9,1:10	*	*
1013	五层园艺作业中	五层正在使用特殊药剂催化植物。为避免药剂影响，禁止树形生物进入	GOTO:FORBID_CUSTOMER_TAG_TARGET_FLOOR:TREE:5	*	*
1014	电梯按钮映射失灵	电梯按钮对应的楼层数减一，1层电梯则会前往11层	GOTO:REDIRECT_TARGET_FLOOR:1:11;GOTO:REDIRECT_TARGET_FLOOR:2:1;GOTO:REDIRECT_TARGET_FLOOR:3:2;GOTO:REDIRECT_TARGET_FLOOR:4:3;GOTO:REDIRECT_TARGET_FLOOR:5:4;GOTO:REDIRECT_TARGET_FLOOR:6:5;GOTO:REDIRECT_TARGET_FLOOR:7:6;GOTO:REDIRECT_TARGET_FLOOR:8:7;GOTO:REDIRECT_TARGET_FLOOR:9:8;GOTO:REDIRECT_TARGET_FLOOR:10:9;GOTO:REDIRECT_TARGET_FLOOR:11:10	*	*
1015	电梯系统严重故障（21：00-22：30）	在前往目标楼层前需要按目标楼层数+1的按键以及楼层1的对应的按键。	GOTO:COMBO_TARGET_FLOOR:1,1:11;GOTO:COMBO_TARGET_FLOOR:2,1:1;GOTO:COMBO_TARGET_FLOOR:3,1:2;GOTO:COMBO_TARGET_FLOOR:4,1:3;GOTO:COMBO_TARGET_FLOOR:5,1:4;GOTO:COMBO_TARGET_FLOOR:6,1:5;GOTO:COMBO_TARGET_FLOOR:7,1:6;GOTO:COMBO_TARGET_FLOOR:8,1:7;GOTO:COMBO_TARGET_FLOOR:9,1:8;GOTO:COMBO_TARGET_FLOOR:10,1:9;GOTO:COMBO_TARGET_FLOOR:11,1:10	21:00:00	22:30:00
1016	电梯系统严重故障（22：31-0：00）	电梯按钮映射故障，现在11层的按钮对应1层，10层按钮对应2层，以此类推	GOTO:REDIRECT_TARGET_FLOOR:11:1;GOTO:REDIRECT_TARGET_FLOOR:10:2;GOTO:REDIRECT_TARGET_FLOOR:9:3;GOTO:REDIRECT_TARGET_FLOOR:8:4;GOTO:REDIRECT_TARGET_FLOOR:7:5;GOTO:REDIRECT_TARGET_FLOOR:6:6;GOTO:REDIRECT_TARGET_FLOOR:5:7;GOTO:REDIRECT_TARGET_FLOOR:4:8;GOTO:REDIRECT_TARGET_FLOOR:3:9;GOTO:REDIRECT_TARGET_FLOOR:2:10;GOTO:REDIRECT_TARGET_FLOOR:1:11	22:31:00	0:00:00
1017	电梯事故调查	将用户”阿莉“带往11层接受盘问	GOTO:FORBID_CUSTOMER_TAG_TARGET_FLOOR:WEASEL:1;GOTO:FORBID_CUSTOMER_TAG_TARGET_FLOOR:WEASEL:2;GOTO:FORBID_CUSTOMER_TAG_TARGET_FLOOR:WEASEL:3;GOTO:FORBID_CUSTOMER_TAG_TARGET_FLOOR:WEASEL:4;GOTO:FORBID_CUSTOMER_TAG_TARGET_FLOOR:WEASEL:5;GOTO:FORBID_CUSTOMER_TAG_TARGET_FLOOR:WEASEL:6;GOTO:FORBID_CUSTOMER_TAG_TARGET_FLOOR:WEASEL:7;GOTO:FORBID_CUSTOMER_TAG_TARGET_FLOOR:WEASEL:8;GOTO:FORBID_CUSTOMER_TAG_TARGET_FLOOR:WEASEL:9;GOTO:FORBID_CUSTOMER_TAG_TARGET_FLOOR:WEASEL:10	*	*
1018	人类庆典进行中	接受所有用户请求	REFUSE:FORBID_REFUSE:0:0	*	*
1019	楼层废弃通知	12楼已被完全废弃	*	*	*
