id	judgmentList	dialogueList	timeEffect	needFloor
~id	~判断结果列表（操作符:楼层:好感度)	~对话列表（条件:参数:对话开始id）	~处理需求消耗时间（时:分:秒）	~需求处理楼层
	~GOTO=前往这些楼层时触发；REFUSE=拒绝后触发；DEFAULT=前面都没命中后的默认效果。	~支持 GREATER/LESS/SELECTED/NOT_SELECTED/CUSTOMER_DELIVERED_TO_FLOOR/CUSTOMER_NOT_DELIVERED_TO_FLOOR；GREATER/LESS 填好感度；SELECTED/NOT_SELECTED 填对话选项id；CUSTOMER_DELIVERED_TO_FLOOR/CUSTOMER_NOT_DELIVERED_TO_FLOOR 格式为 住户id:楼层:对话开始id；从左到右先命中先生效。		
1001	GOTO:8:45;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1075	0:15:00	8
1002	GOTO:2:40;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1001	0:12:00	2
1003	GOTO:6:35;REFUSE:0:-25;DEFAULT:0:-10	GREATER:-999999:1021	0:10:00	6
1004	GOTO:6:45;REFUSE:0:-35;DEFAULT:0:-15	GREATER:-999999:1031	0:18:00	6
1005	GOTO:4:40;REFUSE:0:-20;DEFAULT:0:-10	CUSTOMER_DELIVERED_TO_FLOOR:1003:4:1041;CUSTOMER_NOT_DELIVERED_TO_FLOOR:1003:4:1046	0:08:00	4
1006	GOTO:2:35;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1051	0:20:00	2
1007	GOTO:4:45;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1061	0:14:00	4
1008	GOTO:5:35;REFUSE:0:-25;DEFAULT:0:-10	GREATER:-999999:1071	0:11:00	5
1009	GOTO:7:45;REFUSE:0:-40;DEFAULT:0:-15	GREATER:-999999:1081	0:16:00	7
1010	GOTO:1:30;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1091	0:06:00	1
1014	GOTO:10:60;REFUSE:0:-45;DEFAULT:0:-15	GREATER:-999999:1101	0:18:00	10
1015	GOTO:6:30;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1111	0:10:00	6
1016	GOTO:2:55;REFUSE:0:-40;DEFAULT:0:-15	GREATER:-999999:1121	0:16:00	2
1017	GOTO:1:30;REFUSE:0:-20;DEFAULT:0:-10	GREATER:-999999:1131	0:08:00	1
1018	GOTO:7:45;REFUSE:0:-35;DEFAULT:0:-15	GREATER:-999999:1141	0:14:00	7
1019	GOTO:12:90;REFUSE:0:-80;DEFAULT:0:-30	GREATER:-999999:1151	0:30:00	12
1020	GOTO:2:30;REFUSE:0:-50;DEFAULT:0:-20	GREATER:-999999:1161	0:18:00	2
1021	GOTO:2:40;REFUSE:0:-20;DEFAULT:0:-10	DIALOGUE_SELECTED:1007:1171;DIALOGUE_NOT_SELECTED:1007:1201	0:12:00	2
