id	name	content	dialogueType	flagType	nextList	affectValue	extraFavorEffectList
~id	~名字	~内容	~对话类型（STANDARD/SELECT)	~对话标志位（BEGIN/NONE/END)	~下一句对话列表	~好感度影响值	~额外住户好感影响（住户id:好感值）
1001	考考	晚上好……你是新来的按键员吗？	STANDARD	BEGIN	1002	0	*
1002	考考	第一天就是夜班啊。辛苦了。	STANDARD	NONE	1003	0	*
1003	考考	我白天在面包房帮工，关店之后会有一些没卖完的。	STANDARD	NONE	1004	0	*
1004	考考	这些还可以吃，只是明天不能再摆出来了。	STANDARD	NONE	1005	0	*
1005	考考	我平时会带回去分给大家，或者喂楼下的猫。	STANDARD	NONE	1006	0	*
1006	考考	你要尝尝吗？	STANDARD	NONE	1007;1008	0	*
1007	玩家	谢谢你	SELECT	NONE	1009	0	*
1008	玩家	工作期间不能收东西（考考好感-，触发不了第二天考考对话）	SELECT	NONE	1015	0	*
1009	考考	不客气。	STANDARD	NONE	1010	0	*
1010	考考	夜班的话，还是吃一点比较好。	STANDARD	NONE	1011	0	*
1011	考考	啊，对了，我是不是应该报楼层了。	STANDARD	NONE	1012	0	*
1012	考考	我是考考，登记楼层是七楼。你可以看资料确认一下。	STANDARD	NONE	1013	0	*
1013	考考	然后按七楼，再按确认，最后关门。	STANDARD	NONE	1014	0	*
1014	考考	慢慢来，不要急。	STANDARD	END	0	0	*
1015	考考	啊……这样吗。	STANDARD	NONE	1016	0	*
1016	考考	啊，对了，我是不是应该报楼层了。	STANDARD	NONE	1017	0	*
1017	考考	我是考考，登记楼层是七楼。你可以看资料确认一下。	STANDARD	NONE	1018	0	*
1018	考考	然后按七楼，再按确认，最后关门。	STANDARD	NONE	1019	0	*
1019	考考	慢慢来，不要急。	STANDARD	END	0	0	*
1020	那拉	我要去...诶，你是新来的？	STANDARD	BEGIN	1021	0	*
1021	那拉	哎，那就好办了	STANDARD	NONE	1022	0	*
1022	那拉	别紧张！我可不是那种会欺负新朋友的守法好喵。	STANDARD	NONE	1023	0	*
1023	那拉	我懂我懂。我报楼数，你按按钮，然后你拿工资，我假装这是我的选择，非常顺利的一场交流。	STANDARD	NONE	1024	0	*
1024	那拉	那我们开始吧！我要去四楼!	STANDARD	NONE	1025	0	*
1025	那拉	诶，你怎么不按？	STANDARD	NONE	1026;1027	0	*
1026	玩家	指出楼层错误	SELECT	NONE	1028	0	*
1027	玩家	沉默	SELECT	NONE	1032	0	*
1028	那拉	哎呀，现在居然有档案，失策。	STANDARD	NONE	1029	0	*
1029	那拉	好吧，是六楼。资料表获胜，本人败北。	STANDARD	NONE	1030	0	*
1030	那拉	其实呢，我是想去四楼找神棍树玩。	STANDARD	NONE	1031	0	*
1031	那拉	虽然表说我该回六楼，之前的按键员都很有人情味，或者很困，总之他们会让我上去。	STANDARD	END	0	0	*
1032	那拉	...	STANDARD	NONE	1033	0	*
1033	那拉	喂，不要不理我，这是你的心理战术？	STANDARD	NONE	1034	0	*
1034	那拉	四楼。真的。我有很重要的事。	STANDARD	NONE	1035	0	*
1035	那拉	好吧，也没那么重要。就是去找一棵树吵架。	STANDARD	NONE	1036	0	*
1036	那拉	不对，不是吵架，是对她未经许可发表本人命运预测这件事进行售后咨询。	STANDARD	END	0	0	*
1037	柏南	八楼。	STANDARD	BEGIN	1038	0	*
1038	柏南	你就是新来的按键员。	STANDARD	NONE	1039	0	*
1039	柏南	听说今晚八楼来一只很吵的猫。	STANDARD	NONE	1040	0	*
1040	柏南	她说她是来退签的。	STANDARD	NONE	1041	0	*
1041	柏南	很有意思。新来的手，偶尔会让命运打个喷嚏。	STANDARD	END	0	0	*
1042	柏南	八楼。	STANDARD	BEGIN	1043	0	*
1043	柏南	你就是新来的按键员吧。	STANDARD	NONE	1044	0	*
1044	柏南	难怪。她没有来。	STANDARD	NONE	1045	0	*
1045	柏南	我今天给她留了一张签。	STANDARD	NONE	1046	0	*
1046	柏南	签上写，她会被送回原处。	STANDARD	NONE	1047	0	*
1047	柏南	她一定会很生气。她最讨厌别人说“一定”。	STANDARD	NONE	1048	0	*
1048	柏南	但你看，她真的没有来八楼。	STANDARD	NONE	1049	0	*
1049	柏南	必然的命运，有时候就是这样。	STANDARD	END	0	0	*
1050	小维	二楼。	STANDARD	BEGIN	1051	0	*
1051	小维	不要一直看我。	STANDARD	NONE	1052;1053	0	*
1052	玩家	师傅您是做什么工作的？（触发不了第二天小维选项）	SELECT	NONE	1054	0	*
1053	玩家	玛格丽特·伽拉忒...	SELECT	NONE	1059	0	*
1054	小维	下班之后我不想回答这个。	STANDARD	NONE	1055	0	*
1055	小维	如果规定要说，水族馆活体展览物。	STANDARD	NONE	1056	0	*
1056	小维	打开壳，待着，被看。	STANDARD	NONE	1057	0	*
1057	小维	不过现在不营业。	STANDARD	NONE	1058	0	*
1058	小维	二楼。	STANDARD	END	0	0	*
